"state","county","fips"
"Oregon","Baker",41001
"Oregon","Benton",41003
"Oregon","Clackamas",41005
"Oregon","Clatsop",41007
"Oregon","Columbia",41009
"Oregon","Coos",41011
"Oregon","Crook",41013
"Oregon","Curry",41015
"Oregon","Deschutes",41017
"Oregon","Douglas",41019
"Oregon","Gilliam",41021
"Oregon","Grant",41023
"Oregon","Harney",41025
"Oregon","Hood River",41027
"Oregon","Jackson",41029
"Oregon","Jefferson",41031
"Oregon","Josephine",41033
"Oregon","Klamath",41035
"Oregon","Lake",41037
"Oregon","Lane",41039
"Oregon","Lincoln",41041
"Oregon","Linn",41043
"Oregon","Malheur",41045
"Oregon","Marion",41047
"Oregon","Morrow",41049
"Oregon","Multnomah",41051
"Oregon","Polk",41053
"Oregon","Sherman",41055
"Oregon","Tillamook",41057
"Oregon","Umatilla",41059
"Oregon","Union",41061
"Oregon","Wallowa",41063
"Oregon","Wasco",41065
"Oregon","Washington",41067
"Oregon","Wheeler",41069
"Oregon","Yamhill",41071
